entry_id,date,account_debit,account_credit,amount,posting_user,description,flag_reason
JE-1026,2025-12-25,1300 - Prepaid Expenses,1010 - Cash,18157.68,jgarcia,Payment for prepaid expenses,
JE-1031,2026-01-04,5700 - Depreciation Expense,1500 - Fixed Assets,76512.48,rjones,Post-close reclassification,Posted after close date (2026-01-03); user 'rjones' not on approved post-close list
JE-1002,2025-12-19,5300 - Utilities Expense,2010 - Accounts Payable,18543.54,mwilliams,Standard utilities expense entry,
JE-1048,2025-12-28,5500 - Travel Expense,2200 - Accrued Liabilities,120000.0,lpatel,Bulk purchase - travel expense,"Amount ($120,000) exceeds 15x monthly average ($8,000) for Travel Expense"
JE-1037,2025-12-15,5400 - Office Supplies,1010 - Cash,75000.0,tcheng,Strategic advisory fee,"Round-dollar amount ($75,000) above $50K threshold"
JE-1038,2025-12-08,5100 - Salaries Expense,1010 - Cash,200000.0,klee,Consulting services - Q4 engagement,"Round-dollar amount ($200,000) above $50K threshold"
JE-1032,2026-01-08,5010 - Cost of Goods Sold,1400 - Inventory,6460.76,jgarcia,Correction entry for prior period,Posted after close date (2026-01-03); user 'jgarcia' not on approved post-close list
JE-1014,2025-12-23,1010 - Cash,4000 - Revenue,5632.92,jgarcia,Monthly cash recording,
JE-1033,2026-01-05,5100 - Salaries Expense,1010 - Cash,23065.37,jsmith,Year-end true-up adjustment,Posted after close date (2026-01-03)
JE-1040,2025-12-08,3000 - Retained Earnings,5800 - Miscellaneous Expense,3337.97,jsmith,Reclassification per management request,Unusual account combination: Retained Earnings paired with Miscellaneous Expense
JE-1006,2025-12-09,5300 - Utilities Expense,2010 - Accounts Payable,17604.42,tcheng,Period-end utilities expense accrual,
JE-1001,2025-12-08,1300 - Prepaid Expenses,1010 - Cash,3227.61,jgarcia,Period-end prepaid expenses accrual,
JE-1004,2025-12-23,5900 - Insurance Expense,1300 - Prepaid Expenses,1150.13,klee,Recurring insurance expense transaction,
JE-1007,2025-12-04,5400 - Office Supplies,1010 - Cash,23951.72,tcheng,Monthly office supplies recording,
JE-1036,2025-12-23,5200 - Rent Expense,1010 - Cash,100000.0,klee,Marketing campaign payment,"Round-dollar amount ($100,000) above $50K threshold"
JE-1046,2025-12-22,1200 - Accounts Receivable,4100 - Service Revenue,5427.38,mwilliams,Vendor payment - invoice #66498,"Potential duplicate: same amount ($5,427.38), date (2025-12-22), and accounts"
JE-1005,2025-12-26,1200 - Accounts Receivable,4100 - Service Revenue,5900.8,jgarcia,Monthly accounts receivable recording,
JE-1050,2025-12-26,5800 - Miscellaneous Expense,1010 - Cash,60000.0,tcheng,Bulk purchase - miscellaneous expense,"Amount ($60,000) exceeds 30x monthly average ($2,000) for Miscellaneous Expense"
JE-1030,2025-12-25,5900 - Insurance Expense,1300 - Prepaid Expenses,5373.32,tcheng,Period-end insurance expense accrual,
JE-1018,2025-12-30,1200 - Accounts Receivable,4100 - Service Revenue,7059.65,klee,Recurring accounts receivable transaction,
JE-1012,2025-12-13,5200 - Rent Expense,1010 - Cash,21455.28,mwilliams,Payment for rent expense,
JE-1028,2025-12-17,2010 - Accounts Payable,1010 - Cash,21958.4,jgarcia,Period-end accounts payable accrual,
JE-1009,2025-12-30,5100 - Salaries Expense,1010 - Cash,18378.43,mwilliams,Standard salaries expense entry,
JE-1029,2025-12-27,5700 - Depreciation Expense,1500 - Fixed Assets,22859.38,jgarcia,Recurring depreciation expense transaction,
JE-1035,2025-12-09,5500 - Travel Expense,2200 - Accrued Liabilities,50000.0,abrown,Strategic advisory fee,"Round-dollar amount ($50,000) above $50K threshold"
JE-1049,2025-12-02,5300 - Utilities Expense,2010 - Accounts Payable,85000.0,mwilliams,Special project - utilities expense,"Amount ($85,000) exceeds 28x monthly average ($3,000) for Utilities Expense"
JE-1013,2025-12-06,5010 - Cost of Goods Sold,1400 - Inventory,16074.27,tcheng,Payment for cost of goods sold,
JE-1016,2025-12-22,1200 - Accounts Receivable,4100 - Service Revenue,7113.72,klee,Payment for accounts receivable,
